languageCode,glottocode,family_name,classification
byc,ubag1245,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Upper Cross/Central Upper Cross/North-South Central Delta Cross/Ubaghara-Kohumono/Ubaghara
uba,uban1243,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Bendic/Nuclear Bendic/Bukpic/Ubang
ubi,ubii1238,Afro-Asiatic,Afro-Asiatic/Chadic/East Chadic/East Chadic B/East Chadic B.3/Ubi
ubr,ubir1237,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Papuan Tip linkage/Nuclear Papuan Tip linkage/North Papuan Mainland-D'Entrecasteaux linkage/Are-Taupota linkage/Are linkage/Ubir
uby,ubyk1235,Abkhaz-Adyge,Abkhaz-Adyge/Ubykh
cpb,ucay1237,Arawakan,Arawakan/Southern Maipuran/Kampa-Amuesha/Pre-Andine Maipuran/Asha-Ashe-Kak-Matsi-Nan/Asha-Ashe-Kak/Ashe-Asha/Ashe-Asha Norte/Ucayali-Yurúa Ashéninka
uda,udaa1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Lower Cross/Nuclear Lower Cross/West Lower Cross/Oroic/Enwang-Uda/Uda
ude,udih1248,Tungusic,Tungusic/Northeastern Tungusic/Central-Eastern Tungusic/Oroch-Udihe/Udihe
udi,udii1243,Nakh-Daghestanian,Nakh-Daghestanian/Daghestanian/Lezgic/Samur/Eastern Samur/Udi-Aghwan/Udi
udm,udmu1245,Uralic,Uralic/Permian/Udmurt
udu,uduk1239,Koman,Koman/Central Koman/Komo-Uduk/Uduk
ufi,ufim1240,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Finisterre-Huon/Finisterre-Saruwaged/Gusap-Mot/Ufim-Rawa-Nahu/Ufim
ugn,ugan1238,Sign Language,Sign Language/L1 Sign Language/LSFic/ASLic/Ugandan Sign Language
uga,ugar1238,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Central Semitic/Northwest Semitic/Canaanite/Ugarito-Phoenician/Ugaritic
uge,ughe1237,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Meso Melanesian linkage/New Ireland-Northwest Solomonic linkage/St George linkage/Northwest Solomonic/New Georgia/East New Georgia/Ughele
ugo,ugon1239,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Ugong
uha,uham1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Akpes-Edoid/Edoid/Northwestern Edoid/Osse/Uhami
